動物,キャラクター名
コアラ,きんとき
インドサイ,デコポン
ライオン,ナナ
チーター,カロリーナ
オラウータン,キーボー
カピバラ,なえ
タイリクオオカミ,カヨラン
コツメカワウソ,ごんた
モウコノウマ,メロス
ワライカワセミ,キイロ
タスマニアデビル,パピティ
アカカンガルー,マルオ
